CVR,Profit,Assets,Equity,YearEnd,Equity_sqrt,Assets_sqrt,Profit_sqrt,Default_nextyear,Age
83064811,-22980,11982,-11262204,2013-12-31,-3355.920738038966,109.46232228488486,-151.59155649309758,0,13180
83064811,-24910,18198,-11287114,2014-12-31,-3359.630039156097,134.89996293550269,-157.82902141241325,0,13545
82881913,864131,4022104,2303738,2014-09-30,1517.8069705993578,2005.518386851639,929.5864671992596,0,13455
82750215,149455,1683958,200000,2014-06-30,447.21359549995793,1297.6740731015627,386.59410238646944,0,13389
82652817,62182,3404834,963620,2014-05-31,981.6414824160601,1845.2192281677535,249.36318894335628,0,13333
82586318,73539,1115082,-272087,2013-12-31,-521.6195931902865,1055.974431508642,271.1807515293075,0,13339
82581928,-132617,4353361,3934082,2014-04-30,1983.4520412654297,2086.4709439625562,-364.16617086159994,0,13476
82550119,8306,1083964,292077,2014-07-31,540.4414861943891,1041.135918120204,91.13725912051558,0,9267
82510214,-254027,7421136,2316839,2013-12-31,1522.1166183968953,2724.1762057546866,-504.0109125802734,0,13270
82510214,29078,7204898,2300918,2014-12-31,1516.8777142538552,2684.1941062449264,170.52272575818156,0,13635
82510028,17000,1936000,-225000,2013-12-31,-474.3416490252569,1391.402170474087,130.38404810405297,0,13273
82510028,-835501,996052,-997769,2014-12-31,-998.883877134875,998.0240478064644,-914.0574380201717,0,13638
82479910,117889,7847533,3785688,2014-04-30,1945.6844554038046,2801.3448556006097,343.3496759864497,0,13329
82461019,322750,4375011,205059,2013-12-31,452.83440681997655,2091.6526958364766,568.1109046656295,0,13214
82459111,590426,6312142,2184580,2013-12-31,1478.0324759625548,2512.3976596072525,768.391827129883,0,13221
82459111,785323,7523202,2469903,2014-12-31,1571.592504436185,2742.8456026542945,886.1845180322211,0,13586
82250514,-265500,1411292,898764,2014-12-31,948.0316450414512,1187.9781142765214,-515.26692111953,0,13609
82120513,-31925,265837,176694,2013-12-31,420.349854288068,515.5938323913505,-178.67568385205638,0,13511
82120513,-10617,245304,164361,2014-12-31,405.4146025983771,495.2817380037346,-103.03882763308208,0,13876
81891613,286557,6638337,3468583,2013-12-31,1862.413219454802,2576.497040557198,535.3101904503593,0,13350
81867712,-1428,64879,-90484,2013-12-31,-300.8055850545332,254.71356461719898,-37.78888725538237,0,13277
81867712,602633,582270,512149,2014-12-31,715.6458621413248,763.0661832370768,776.2944029168316,0,13642
81866414,10220,1336612,344488,2014-03-31,586.9310010554904,1156.119370999379,101.09401564880089,0,13368
81845913,2962569,21667181,5223762,2013-12-31,2285.5550748122437,4654.801929190972,1721.2114919439737,0,13422
81818819,13758,488563,477331,2014-06-30,690.8914531241503,698.9728177833528,117.2945011498834,0,7361
81808228,-172850,1703956,1380950,2013-12-31,1175.1382897344465,1305.3566562438023,-415.7523301197481,0,13495
81808228,-220465,1496177,1160485,2014-12-31,1077.2580934947762,1223.1831424606864,-469.53700599633254,0,13860
81748713,363263,1315586,655653,2014-06-30,809.7240270610722,1146.989973800992,602.71303287717285,0,13881
81652317,-1439988,13458225,-5439019,2013-09-30,-2332.1704483163317,3668.5453520435044,-1199.9949999895832,0,11981
81337918,138491,3951429,3204287,2014-06-30,1790.0522338747548,1987.8201628920058,372.1437894147906,0,13515
81252017,488000,9952000,1802000,2014-12-31,1342.3859355639868,3154.679064500857,698.5699678629193,0,13393
81252017,-197000,7278000,1313000,2013-12-31,1145.8621208504974,2697.7768625295903,-443.8468204234429,0,13028
81176612,1106533,7576911,2717821,2013-12-31,1648.5815114819163,2752.618934760131,1051.9187230960385,0,13341
81176612,951805,9194652,2569626,2014-12-31,1603.0053025489342,3032.2684577721675,975.6049405368958,0,13706
81168814,-1136225,3583389,920128,2013-12-31,959.2330269543476,1892.984152073123,-1065.938553576143,0,13347
81108110,0,6187388,4851459,2013-09-30,2202.602778532707,2487.446079817611,0,0,13481
81108110,-170788,6220796,4851458,2014-09-30,2202.6025515285323,2494.1523610236804,-413.2650481228724,0,13846
80322410,74552,7484042,4781209,2013-12-31,2186.5975852909014,2735.697717219503,273.04212129266796,0,13516
80322410,433152,7603533,5114361,2014-12-31,2261.4953017859666,2757.450452864022,658.1428416385003,0,13881
79404616,-87371,3902860,712629,2014-04-30,844.1735603535567,1975.5657417560167,-295.58585893103884,0,10407
79398128,0,1357478,1349916,2014-04-30,1161.8588554553432,1165.1085786311935,0,0,10438
79278912,13865,3594725,2102536,2013-12-31,1450.0124137399653,1895.9760019578307,117.7497346069196,0,10303
79278912,41147,3177849,2024049,2014-12-31,1422.6907604957587,1782.6522375382137,202.84723315835492,0,10668
79142417,27275,2624805,278405,2013-12-31,527.6409764224155,1620.1249951778411,165.15144564913746,0,10329
79142417,157810,2183890,436214,2014-12-31,660.4649877169871,1477.7990391118815,397.25306795542815,0,10694
79099716,972670,11278109,2994079,2013-09-30,1730.3407178934442,3358.289594421541,986.2403358208384,0,10247
79094919,-35956,539714,-101794,2013-09-30,-319.05171994521515,734.6522987100768,-189.62067397834025,0,10233
78896612,92761,3197325,1898312,2014-12-31,1377.7924371979982,1788.1065404499811,304.5669056217369,0,10776
78885912,90912,1176803,351263,2014-06-30,592.6744468930646,1084.8055125228668,301.51616872068405,0,10595
78868619,676286,36448237,8282754,2013-09-30,2877.9774147828193,6037.23753052669,822.3660985230362,0,10287
78867914,-37366,3889172,368412,2013-12-31,606.9695214753374,1972.098374828193,-193.30287116336373,0,10339
78867914,10606,3921103,379018,2014-12-31,615.6443778676128,1980.177517294851,102.98543586352393,1,10704
78864028,30324,6004273,537869,2014-06-30,733.3955276656656,2450.361810019084,174.13787640832192,0,10520
78839228,961107,9113153,2464485,2014-04-30,1569.8678288314593,3018.7999271233593,980.3606479250378,0,10481
78835214,-82155,212032,-96509,2014-12-31,-310.6589770149899,460.4693257970611,-286.6269352311468,0,10768
78807628,389315,2062186,391856,2013-12-31,625.9840253552801,1436.0313367054355,623.9511198803957,0,10403
78643315,-18827,645609,443344,2014-09-30,665.8408218185484,803.4979775954636,-137.21151555172037,0,10638
78618116,102426,4389170,525129,2013-12-31,724.6578502990221,2095.0346059194344,320.040622421592,0,10414
78578319,-19957,678447,25025,2014-06-30,158.19292019556374,823.6789423070132,-141.2692464763651,0,10566
78422416,2073115,16395106,10238791,2014-04-30,3199.8110881738003,4049.087057597058,1439.8315873740235,0,10554
78333928,397306,6469400,2340082,2013-09-30,1529.7326563815,2543.501523490796,630.3221398618329,0,10294
78333928,65953,6316867,2406035,2014-09-30,1551.1399034258645,2513.3378205088147,256.8131616564852,0,10659
78285710,-175365,7821660,512757,2013-12-31,716.0705272527281,2796.723082466335,-418.7660444687463,0,10471
78285710,-304924,4575584,1207834,2014-12-31,1099.0150135462209,2139.061476442414,-552.1992394054885,0,10836
78259817,604290,5984824,4299086,2014-12-31,2073.4237386506406,2446.3899934393125,777.360920036504,0,10814
78259817,138471,5451796,4194796,2013-12-31,2048.1201136652116,2334.9081352378726,372.1169171107382,0,10449
78238917,-197974,1380627,742,2013-09-30,27.23967694375247,1175.0008510635216,-444.94269293921434,0,2302
78223111,204088,4725674,962476,2014-12-31,981.0586119085852,2173.861541129057,451.7609987592997,0,10779
78223111,3150,3953247,758388,2013-12-31,870.8547525276531,1988.2773951337876,56.124860801609124,0,10414
78144912,317458,3140028,1240626,2014-12-31,1113.833919397322,1772.012415306394,563.434113273238,0,10780
78143215,14000,2934000,1215000,2014-06-30,1102.2703842524302,1712.8922908344236,118.32159566199232,0,10595
78117915,187365,2714496,401628,2014-06-30,633.7412721292499,1647.5727601535539,432.85678925020915,0,10594
78097116,263228,2800420,679885,2014-09-30,824.551393182984,1673.4455473662715,513.0575016506434,0,10679
78097116,-82520,3505014,416657,2013-09-30,645.4897365566706,1872.1682616688063,-287.2629457483161,0,10314
78063513,-290314,1792590,-92995,2014-03-31,-304.95081570640207,1338.876394593616,-538.8079435197666,0,10570
78058013,33411,2724879,914288,2013-12-31,956.1840826953772,1650.7207516718265,182.7867610085588,0,10414
78058013,-110572,2311620,803716,2014-12-31,896.5020914643758,1520.4012628250478,-332.52368336706485,0,10779
78049111,41552,230380,197628,2014-06-30,444.55370879118755,479.97916621453476,203.8430768998545,0,10593
78008512,-66768,2126770,-122916,2014-05-31,-350.5937820327109,1458.3449523346662,-258.3950463921474,0,5832
77907718,-389046,17503068,9618551,2013-12-31,3101.378886882414,4183.666812737362,-623.735520874032,0,6347
77907718,-3444207,11222810,3174344,2014-12-31,1781.6688805723695,3350.0462683372,-1855.8574837524566,0,6712
77346813,13445,29255,29255,2014-04-30,171.040930773894,171.040930773894,115.95257651298655,0,10639
77339019,148114,5150555,1126607,2014-06-30,1061.4174485093035,2269.483421397918,384.8558171575428,0,10699
77307516,798056,11438080,5411937,2014-09-30,2326.3570233306837,3382.0230631975296,893.3398009716124,0,10792
77307516,650856,12271708,5213881,2013-09-30,2283.3924323252013,3503.0997702035265,806.7564688305883,0,10427
77224912,253241,7202925,2477156,2014-06-30,1573.898344874916,2683.8265592247203,503.23056345973265,0,10727
77211012,-557,1578690,82472,2013-12-31,287.17938644686876,1256.4593109209704,-23.600847442411894,0,10546
77127119,20377,5680147,2423242,2014-12-31,1556.6765881197032,2383.3058972779804,142.74802975873257,0,10958
77127119,107296,5249409,2652865,2013-12-31,1628.7617996502743,2291.1588770750927,327.56068140117185,0,10593
76926611,19375,2527526,577930,2014-06-30,760.2170742623451,1589.8194866084639,139.19410907075056,0,10756
76853312,-32789,1410103,890265,2013-12-31,943.5385524714928,1187.4775787356998,-181.077331546497,0,10594
76844410,-16851,206674,304074,2014-12-31,551.4290525534541,454.61412208597307,-129.81140165640304,0,10960
76840415,-1032000,30769000,5577000,2014-04-30,2361.5672761960436,5546.98116095593,-1015.8740079360235,0,10723
76725810,-173625,1221213,189129,2013-12-31,434.88964117348206,1105.0850645991013,-416.6833330000133,0,10633
76725810,108075,1156953,146249,2014-12-31,382.425156076323,1075.6174970685443,328.7476235655552,0,10998
76672113,3877,2350072,1413558,2014-06-30,1188.9314530283064,1532.9944553063458,62.26556030423239,0,10776
76660328,824248,9070151,5406212,2014-12-31,2325.1262331323,3011.669138534311,907.881049477298,0,10968
76660328,1261834,8336948,4581964,2013-12-31,2140.552265187655,2887.3773567027915,1123.313847506564,0,10603
76651728,811796,29043456,5969453,2014-06-30,2443.24640591161,5389.198085058667,900.997225300944,0,10786
76568510,2017367,17400497,4797359,2013-12-31,2190.287424061052,4171.390295812656,1420.340452145189,0,10604
76567115,1304022,22141136,22063582,2014-12-31,4697.188733700191,4705.436855383356,1141.9378266788433,0,10978
76567115,1023515,20925268,20884560,2013-12-31,4569.962800723874,4574.414498053276,1011.6891815177229,0,10613
76564914,1758129,8337440,6953456,2014-06-30,2636.9406515885034,2887.462553869747,1325.9445689771499,0,10776
76564213,-347769,5550590,2983035,2014-06-30,1727.1464906023461,2355.9690150763868,-589.7194248114946,0,10865
76563713,642883,4954085,1584114,2014-09-30,1258.615906462333,2225.777392283424,801.7998503367284,0,10896
76563713,-1058769,9664446,-558769,2013-09-30,-747.5085283794426,3108.769209832084,-1028.9650139824969,0,10531
76504318,-285,1674766,1513766,2013-12-31,1230.3519821579514,1294.1275053100449,-16.881943016134134,0,10630
76504318,109524,1672095,1623290,2014-12-31,1274.08398467291,1293.0951241111381,330.94410404175505,0,10995
76496617,597352,3142470,1665784,2014-06-30,1290.6525481321455,1772.7013284814789,772.8855025163817,0,10833
76467919,-40910,3633478,1605569,2014-04-30,1267.1104924196627,1906.1684080899042,-202.26220605936246,0,10760
76385211,115026,1203827,229423,2013-12-31,478.9812104874261,1097.190503057696,339.1548318983529,0,10652
76385211,-53835,1195339,175589,2014-12-31,419.03341155568967,1093.315599449674,-232.02370568543208,0,11017
76249113,138462,2109641,1410216,2013-12-31,1187.52515762825,1452.4603264805548,372.1048239407815,0,10651
76249113,-81960,1824390,1229856,2014-12-31,1108.9887285270306,1350.699818612559,-286.2865697164294,0,11016
76226512,289608,4439000,1951357,2014-06-30,1396.9098038169823,2106.89344770921,538.1523947730791,0,10836
76074518,623802,4644905,2730119,2014-06-30,1652.307174831605,2155.2041666626387,789.8113698852404,0,10821
75967217,1528461,6597869,3037887,2014-06-30,1742.9535277797856,2568.631736937002,1236.3094272875217,0,10997
75955510,273661,41520538,8895304,2014-12-31,2982.4996227996407,6443.643224139586,523.1261798075107,0,11150
75939515,122786,15374309,4507714,2014-12-31,2123.13777226067,3921.008671247744,350.4083332342426,0,11143
75901712,88186,1579615,1569694,2014-12-31,1252.8742953704493,1256.827354890082,296.9612769369097,0,11144
